
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-01-02 00:35:38 /register ........................................ ~ 1s
  2026-01-02 00:35:39 /build/assets/app-CUX2WCzB.css ............... ~ 0.11ms
  2026-01-02 00:35:39 /build/assets/register-BzyIfLkm.js ........... ~ 0.17ms
  2026-01-02 00:35:39 /build/assets/index-C4J_hXM0.js .............. ~ 1.67ms
  2026-01-02 00:35:39 /build/assets/input-error-CuKePRdt.js ........ ~ 4.21ms
  2026-01-02 00:35:39 /build/assets/app-Byq5cHkK.js ................ ~ 5.41ms
  2026-01-02 00:35:39 /build/assets/text-link-COfQn6ld.js .......... ~ 8.45ms
  2026-01-02 00:35:39 /build/assets/app-logo-icon-CdXyYFDW.js ..... ~ 10.14ms
  2026-01-02 00:35:39 /_debugbar/assets/stylesheets ................ ~ 0.11ms
  2026-01-02 00:35:39 /build/assets/input-uHhCeZjS.js .............. ~ 3.15ms
  2026-01-02 00:35:39 /build/assets/label-DmtiNZv1.js .............. ~ 5.34ms
  2026-01-02 00:35:39 /build/assets/spinner-uLdjDIkE.js ............ ~ 7.63ms
  2026-01-02 00:35:39 /build/assets/auth-layout-DcP0N0HJ.js ........ ~ 9.27ms
  2026-01-02 00:35:39 /build/assets/index-BMbgfskH.js .............. ~ 7.22ms
  2026-01-02 00:35:39 /_debugbar/assets/javascript ................. ~ 0.09ms
  2026-01-02 00:35:39 /build/assets/loader-circle-CLL-vxqp.js ...... ~ 3.10ms
  2026-01-02 00:35:40 /build/assets/app-CUX2WCzB.css ............... ~ 0.51ms
  2026-01-02 00:35:40 /register .................................. ~ 500.65ms
  2026-01-02 00:35:41 /dashboard ................................... ~ 0.10ms
  2026-01-02 00:35:41 /_debugbar/open .............................. ~ 0.10ms
  2026-01-02 00:35:41 /build/assets/dashboard-van-bDJI.js .......... ~ 0.12ms
  2026-01-02 00:35:41 /build/assets/app-layout-DoVka_o4.js ......... ~ 1.50ms
  2026-01-02 00:35:41 /build/assets/index-B8UnbaA4.js .............. ~ 2.55ms
  2026-01-02 00:35:41 /players ..................................... ~ 0.24ms
  2026-01-02 00:35:41 /build/assets/app-CUX2WCzB.css ............... ~ 0.10ms
  2026-01-02 00:35:41 /build/assets/index-DfBmelPd.js .............. ~ 0.15ms
  2026-01-02 00:35:41 /build/assets/card-DVmU2uN7.js ............... ~ 2.34ms
  2026-01-02 00:35:41 /build/assets/table-BQlvsMRp.js .............. ~ 5.96ms
  2026-01-02 00:35:41 /build/assets/index-iqp_LyVf.js .............. ~ 8.14ms
  2026-01-02 00:35:41 /build/assets/app-layout-DoVka_o4.js ........ ~ 10.46ms
  2026-01-02 00:35:41 /build/assets/app-Byq5cHkK.js ............... ~ 11.44ms
  2026-01-02 00:35:41 /build/assets/app-logo-icon-CdXyYFDW.js ...... ~ 0.13ms
  2026-01-02 00:35:41 /build/assets/index-B8UnbaA4.js .............. ~ 0.73ms
  2026-01-02 00:35:41 /build/assets/index-BMbgfskH.js .............. ~ 2.83ms
  2026-01-02 00:35:41 /build/assets/index-C4J_hXM0.js .............. ~ 5.02ms
  2026-01-02 00:35:41 /build/assets/app-CUX2WCzB.css ............... ~ 0.11ms
  2026-01-02 00:35:41 /players/create .............................. ~ 0.20ms
  2026-01-02 00:35:41 /_debugbar/open .............................. ~ 0.09ms
  2026-01-02 00:35:41 /build/assets/create-DXO5tCY4.js ............. ~ 0.20ms
  2026-01-02 00:35:41 /build/assets/input-uHhCeZjS.js .............. ~ 2.04ms
  2026-01-02 00:35:41 /build/assets/label-DmtiNZv1.js .............. ~ 4.12ms
  2026-01-02 00:35:42 /players ..................................... ~ 0.09ms
  2026-01-02 00:35:42 /players ..................................... ~ 0.09ms
  2026-01-02 00:35:42 /_debugbar/open .............................. ~ 0.10ms
  2026-01-02 00:35:42 /players/create .............................. ~ 0.13ms
  2026-01-02 00:35:42 /_debugbar/open .............................. ~ 0.13ms
  2026-01-02 00:35:42 /players ..................................... ~ 0.20ms
  2026-01-02 00:35:42 /players ..................................... ~ 0.10ms
  2026-01-02 00:35:42 /_debugbar/open .............................. ~ 0.10ms
  2026-01-02 00:35:42 /leagues ..................................... ~ 0.22ms
